test,PKG,CPU,nn,nn2,time
bubblesort,0.010986328125,0.0091552734375,  ,  ,3.165
bubblesort,0.01318359375,0.01092529296875,  ,  ,3.069
bubblesort,0.01519775390625,0.0093994140625,  ,  ,2.617
bubblesort,0.01055908203125,0.00958251953125,  ,  ,2.572
bubblesort,0.00994873046875,0.00994873046875,  ,  ,2.671
bubblesort,0.015380859375,0.010009765625,  ,  ,2.684
bubblesort,0.0098876953125,0.01025390625,  ,  ,2.712
bubblesort,0.0146484375,0.01007080078125,  ,  ,2.638
bubblesort,0.01434326171875,0.009765625,  ,  ,2.537
bubblesort,0.010009765625,0.010009765625,  ,  ,2.555
bubblesort,0.01446533203125,0.0093994140625,  ,  ,2.58
bubblesort,0.01019287109375,0.0096435546875,  ,  ,2.591
bubblesort,0.014404296875,0.0103759765625,  ,  ,2.591
bubblesort,0.014892578125,0.0093994140625,  ,  ,2.588
bubblesort,0.0087890625,0.0096435546875,  ,  ,2.566
bubblesort,0.015380859375,0.009521484375,  ,  ,2.561
bubblesort,0.01025390625,0.009765625,  ,  ,2.556
bubblesort,0.01470947265625,0.0101318359375,  ,  ,2.654
bubblesort,0.01025390625,0.01068115234375,  ,  ,2.321
bubblesort,0.01849365234375,0.01190185546875,  ,  ,2.288
bubblesort,0.01287841796875,0.011474609375,  ,  ,2.224
bubblesort,0.012939453125,0.01141357421875,  ,  ,2.122
bubblesort,0.0142822265625,0.0125732421875,  ,  ,2.153
bubblesort,0.013916015625,0.011962890625,  ,  ,2.107
bubblesort,0.0133056640625,0.01324462890625,  ,  ,2.163
bubblesort,0.01385498046875,0.01202392578125,  ,  ,2.151
bubblesort,0.02203369140625,0.013427734375,  ,  ,2.068
bubblesort,0.01385498046875,0.01171875,  ,  ,2.108
bubblesort,0.01318359375,0.013427734375,  ,  ,2.161
bubblesort,0.0145263671875,0.01348876953125,  ,  ,2.168
bubblesort,0.01312255859375,0.01312255859375,  ,  ,2.165
bubblesort_func,0.01763916015625,0.01910400390625,  ,  ,3.698
bubblesort_func,0.02545166015625,0.0174560546875,  ,  ,3.418
bubblesort_func,0.0189208984375,0.0172119140625,  ,  ,3.415
bubblesort_func,0.024658203125,0.01715087890625,  ,  ,3.342
bubblesort_func,0.01715087890625,0.0172119140625,  ,  ,3.377
bubblesort_func,0.01849365234375,0.0186767578125,  ,  ,3.467
bubblesort_func,0.02392578125,0.01708984375,  ,  ,3.444
bubblesort_func,0.01739501953125,0.0179443359375,  ,  ,3.416
bubblesort_func,0.023681640625,0.01837158203125,  ,  ,3.422
bubblesort_func,0.01800537109375,0.017822265625,  ,  ,3.464
bubblesort_func,0.02496337890625,0.01788330078125,  ,  ,3.398
bubblesort_func,0.0169677734375,0.0169677734375,  ,  ,3.428
bubblesort_func,0.0177001953125,0.0174560546875,  ,  ,3.41
bubblesort_func,0.02435302734375,0.01739501953125,  ,  ,3.372
bubblesort_func,0.0177001953125,0.01824951171875,  ,  ,3.397
bubblesort_func,0.01849365234375,0.01666259765625,  ,  ,3.426
bubblesort_func,0.017333984375,0.01727294921875,  ,  ,3.404
bubblesort_func,0.0179443359375,0.017578125,  ,  ,3.379
bubblesort_func,0.02337646484375,0.01824951171875,  ,  ,3.406
bubblesort_func,0.01898193359375,0.01776123046875,  ,  ,3.443
bubblesort_func,0.02398681640625,0.01873779296875,  ,  ,3.435
bubblesort_func,0.01898193359375,0.01788330078125,  ,  ,3.418
bubblesort_func,0.02484130859375,0.01861572265625,  ,  ,3.502
bubblesort_func,0.018310546875,0.01861572265625,  ,  ,3.414
bubblesort_func,0.01910400390625,0.017333984375,  ,  ,3.404
bubblesort_func,0.02386474609375,0.01806640625,  ,  ,3.456
bubblesort_func,0.01837158203125,0.01837158203125,  ,  ,3.49
bubblesort_func,0.0252685546875,0.017578125,  ,  ,3.396
bubblesort_func,0.0177001953125,0.01739501953125,  ,  ,3.379
bubblesort_func,0.0240478515625,0.01837158203125,  ,  ,3.542
bubblesort_ll2,0.02593994140625,0.01776123046875,  ,  ,3.688
bubblesort_ll2,0.01898193359375,0.0194091796875,  ,  ,3.679
bubblesort_ll2,0.01812744140625,0.01812744140625,  ,  ,3.642
bubblesort_ll2,0.0238037109375,0.01629638671875,  ,  ,3.555
bubblesort_ll2,0.01812744140625,0.0185546875,  ,  ,3.679
bubblesort_ll2,0.02386474609375,0.01861572265625,  ,  ,3.554
bubblesort_ll2,0.0185546875,0.0167236328125,  ,  ,3.512
bubblesort_ll2,0.02374267578125,0.01861572265625,  ,  ,3.687
bubblesort_ll2,0.0234375,0.01727294921875,  ,  ,3.6
bubblesort_ll2,0.01849365234375,0.02032470703125,  ,  ,3.662
bubblesort_ll2,0.0238037109375,0.01800537109375,  ,  ,3.663
bubblesort_ll2,0.0225830078125,0.017822265625,  ,  ,3.726
bubblesort_ll2,0.0184326171875,0.0174560546875,  ,  ,3.647
bubblesort_ll2,0.0230712890625,0.01800537109375,  ,  ,3.607
bubblesort_ll2,0.02325439453125,0.01654052734375,  ,  ,3.511
bubblesort_ll2,0.01812744140625,0.018310546875,  ,  ,3.54
bubblesort_ll2,0.02471923828125,0.0189208984375,  ,  ,3.658
bubblesort_ll2,0.01739501953125,0.01824951171875,  ,  ,3.664
bubblesort_ll2,0.02337646484375,0.017822265625,  ,  ,3.639
bubblesort_ll2,0.02496337890625,0.01806640625,  ,  ,3.571
bubblesort_ll2,0.01800537109375,0.0185546875,  ,  ,3.652
bubblesort_ll2,0.02294921875,0.01910400390625,  ,  ,3.719
bubblesort_ll2,0.0233154296875,0.01788330078125,  ,  ,3.708
bubblesort_ll2,0.0174560546875,0.01800537109375,  ,  ,3.768
bubblesort_ll2,0.02239990234375,0.0177001953125,  ,  ,3.638
bubblesort_ll2,0.02301025390625,0.01611328125,  ,  ,3.564
bubblesort_ll2,0.017822265625,0.0194091796875,  ,  ,3.631
bubblesort_ll2,0.02276611328125,0.017578125,  ,  ,3.54
bubblesort_ll2,0.017578125,0.01788330078125,  ,  ,3.569
bubblesort_ll2,0.02276611328125,0.01739501953125,  ,  ,3.535
bubblesort_ll,0.01336669921875,0.0147705078125,  ,  ,2.622
bubblesort_ll,0.0208740234375,0.0137939453125,  ,  ,2.486
bubblesort_ll,0.01397705078125,0.014404296875,  ,  ,2.441
bubblesort_ll,0.0142822265625,0.01336669921875,  ,  ,2.435
bubblesort_ll,0.01904296875,0.0137939453125,  ,  ,2.401
bubblesort_ll,0.0135498046875,0.01470947265625,  ,  ,2.467
bubblesort_ll,0.02032470703125,0.0126953125,  ,  ,2.348
bubblesort_ll,0.013427734375,0.0155029296875,  ,  ,2.527
bubblesort_ll,0.02032470703125,0.01373291015625,  ,  ,2.403
bubblesort_ll,0.01300048828125,0.0140380859375,  ,  ,2.376
bubblesort_ll,0.01300048828125,0.01397705078125,  ,  ,2.537
bubblesort_ll,0.0205078125,0.01458740234375,  ,  ,2.421
bubblesort_ll,0.01470947265625,0.01422119140625,  ,  ,2.385
bubblesort_ll,0.01947021484375,0.013671875,  ,  ,2.391
bubblesort_ll,0.0137939453125,0.0140380859375,  ,  ,2.408
bubblesort_ll,0.019775390625,0.0142822265625,  ,  ,2.393
bubblesort_ll,0.01385498046875,0.01434326171875,  ,  ,2.412
bubblesort_ll,0.013916015625,0.0130615234375,  ,  ,2.378
bubblesort_ll,0.02069091796875,0.01385498046875,  ,  ,2.389
bubblesort_ll,0.01300048828125,0.01318359375,  ,  ,2.37
bubblesort_ll,0.0140380859375,0.013427734375,  ,  ,2.401
bubblesort_ll,0.02056884765625,0.01617431640625,  ,  ,2.663
bubblesort_ll,0.0142822265625,0.01324462890625,  ,  ,2.363
bubblesort_ll,0.01416015625,0.01422119140625,  ,  ,2.393
bubblesort_ll,0.01397705078125,0.0137939453125,  ,  ,2.458
bubblesort_ll,0.01922607421875,0.0142822265625,  ,  ,2.51
bubblesort_ll,0.01409912109375,0.0140380859375,  ,  ,2.534
bubblesort_ll,0.02142333984375,0.0135498046875,  ,  ,2.414
bubblesort_ll,0.013671875,0.0142822265625,  ,  ,2.378
bubblesort_ll,0.0206298828125,0.01361083984375,  ,  ,2.393
bubblesort,0.0107421875,0.0091552734375,  ,  ,3.674
bubblesort,0.012451171875,0.00927734375,  ,  ,2.978
bubblesort,0.0130615234375,0.0101318359375,  ,  ,2.981
bubblesort,0.01324462890625,0.00933837890625,  ,  ,2.874
bubblesort,0.01324462890625,0.0096435546875,  ,  ,2.898
bubblesort,0.01318359375,0.0086669921875,  ,  ,2.846
bubblesort,0.0125732421875,0.0091552734375,  ,  ,2.999
bubblesort,0.0120849609375,0.00897216796875,  ,  ,2.915
bubblesort,0.01336669921875,0.009521484375,  ,  ,2.847
bubblesort,0.0133056640625,0.00921630859375,  ,  ,2.971
bubblesort,0.0081787109375,0.00909423828125,  ,  ,2.872
bubblesort,0.01275634765625,0.00909423828125,  ,  ,2.827
bubblesort,0.01336669921875,0.0089111328125,  ,  ,2.874
bubblesort,0.01324462890625,0.0091552734375,  ,  ,2.816
bubblesort,0.0126953125,0.00933837890625,  ,  ,2.89
bubblesort,0.01300048828125,0.009521484375,  ,  ,2.861
bubblesort,0.01287841796875,0.0089111328125,  ,  ,2.855
bubblesort,0.01025390625,0.01092529296875,  ,  ,2.411
bubblesort,0.01141357421875,0.010498046875,  ,  ,2.4
bubblesort,0.0115966796875,0.0106201171875,  ,  ,2.092
bubblesort,0.02008056640625,0.011474609375,  ,  ,2.036
bubblesort,0.01483154296875,0.01275634765625,  ,  ,2.074
bubblesort,0.01373291015625,0.01153564453125,  ,  ,2.049
bubblesort,0.013671875,0.013916015625,  ,  ,2.178
bubblesort,0.01361083984375,0.0115966796875,  ,  ,2.054
bubblesort,0.01397705078125,0.0120849609375,  ,  ,2.007
bubblesort,0.01348876953125,0.01263427734375,  ,  ,2.086
bubblesort,0.0133056640625,0.0123291015625,  ,  ,2.054
bubblesort,0.01458740234375,0.01287841796875,  ,  ,2.135
bubblesort,0.0140380859375,0.01300048828125,  ,  ,2.13
bubblesort_func,0.02105712890625,0.0186767578125,  ,  ,4.129
bubblesort_func,0.01800537109375,0.01708984375,  ,  ,3.446
bubblesort_func,0.02410888671875,0.01666259765625,  ,  ,3.412
bubblesort_func,0.017333984375,0.0185546875,  ,  ,3.501
bubblesort_func,0.0242919921875,0.01715087890625,  ,  ,3.349
bubblesort_func,0.01690673828125,0.01751708984375,  ,  ,3.41
bubblesort_func,0.01812744140625,0.0169677734375,  ,  ,3.393
bubblesort_func,0.02313232421875,0.01702880859375,  ,  ,3.382
bubblesort_func,0.01690673828125,0.017333984375,  ,  ,3.36
bubblesort_func,0.0242919921875,0.017333984375,  ,  ,3.45
bubblesort_func,0.017822265625,0.01806640625,  ,  ,3.32
